Sample_ID,Huntingtons_Disease,PPP1CC,IGF2BP3,CEBPD,YTHDC2,FTO,YTHDC1,CEBPB,YTHDF2,METTL16,YTHDF1,YTHDF3
GSM30530,1,1140.3,30.233333333333334,290.55,55.03333333333334,165.8,335.5,1758.3,277.0,21.4,417.4,296.2
GSM30531,1,647.6,20.099999999999998,134.7,59.46666666666667,178.0,227.6,1687.0,192.5,36.9,402.6,190.1
GSM30532,1,1091.6,15.066666666666668,357.1,73.60000000000001,178.8,358.75,2268.6,262.2,8.5,340.5,355.9
GSM30533,1,1000.8,23.633333333333336,115.05,66.06666666666666,139.5,235.4,1069.2,244.6,18.3,349.6,183.9
GSM30534,1,1075.7,32.43333333333334,255.35,64.60000000000001,160.6,309.45,1664.3,199.2,25.7,264.0,150.6
GSM30535,1,1172.2,30.399999999999995,310.65,51.666666666666664,65.8,255.95,2131.5,139.7,31.2,276.6,282.4
GSM30536,1,900.3,42.13333333333333,237.15,52.06666666666666,88.5,220.85,1805.5,128.2,13.1,288.4,208.5
GSM30537,1,1486.3,28.866666666666664,266.85,51.56666666666666,188.9,280.75,1916.4,334.3,2.7,392.2,245.7
GSM30538,1,968.9,48.6,349.5,45.03333333333333,144.4,259.05,2105.5,145.4,11.2,318.5,222.8
GSM30539,1,834.4,30.266666666666666,166.05,61.43333333333334,166.1,253.95,1646.3,188.2,20.1,309.1,349.8
GSM30540,1,978.6,33.13333333333333,246.8,34.13333333333333,119.9,231.4,2171.1,187.8,19.6,315.9,210.5
GSM30541,1,919.3,34.9,134.6,59.333333333333336,130.3,223.0,1222.6,235.8,30.2,383.9,208.8
GSM30580,0,248.4,34.833333333333336,177.25,30.600000000000005,193.4,136.1,1141.9,136.0,5.2,401.3,64.0
GSM30581,0,379.5,39.96666666666667,140.15,41.46666666666667,102.1,165.95,926.2,113.8,17.3,250.2,67.7
GSM30582,0,494.2,17.766666666666666,413.15000000000003,40.166666666666664,199.3,212.75,2575.3,225.1,3.4,381.1,116.7
GSM30583,0,206.2,29.5,223.65,28.366666666666664,126.2,127.85,1530.1,146.3,39.1,276.1,44.6
GSM30584,0,394.1,46.199999999999996,168.5,41.63333333333333,16.8,150.7,697.6,86.7,59.1,400.4,78.3
GSM30585,0,728.9,43.96666666666667,217.8,26.333333333333332,143.2,220.4,1710.1,194.9,8.2,338.0,108.7
GSM30586,0,509.8,68.43333333333332,202.95000000000002,35.6,129.4,194.9,1286.5,176.7,6.4,382.3,96.2
GSM30587,0,706.1,13.83333333333333,300.3,18.133333333333336,146.4,269.85,2256.2,181.7,5.3,322.2,127.8
GSM30588,0,544.4,26.633333333333336,345.2,19.433333333333334,127.2,170.35000000000002,2088.9,109.1,9.7,347.2,91.9
GSM30589,0,601.4,37.63333333333333,180.75,20.866666666666664,186.0,140.55,969.9,115.3,32.3,299.5,79.3
GSM30590,0,524.3,31.866666666666664,243.3,16.533333333333335,171.1,250.29999999999998,1801.9,161.5,54.9,288.7,6.5
GSM30591,0,656.4,42.166666666666664,124.6,17.76666666666667,186.8,182.15,1695.6,118.4,29.7,330.2,73.3
GSM30592,0,585.7,39.03333333333333,229.15,11.100000000000001,162.1,193.60000000000002,1735.0,171.6,5.5,105.4,67.6
GSM30593,0,682.2,18.866666666666664,179.2,47.833333333333336,151.1,140.85,1704.9,116.5,24.3,222.9,31.3
